Unnamed: 0,Elo Rank,Player,Age,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Peak Elo,Peak Month,ATP Rank,Log diff
119,120,Roberto Carballes Baena,32.7,1673.0,115,1624.6,97,1653.6,164,1526.3,1788.1,2024-07,147.0,-0.2
120,121,Lloyd Harris,28.8,1672.9,118,1623.8,156,1569.8,72,1633.4,1896.0,2021-10,221.0,-0.6
121,122,Jerome Kym,22.6,1671.1,101,1644.4,136,1601.0,178,1513.2,1738.0,2024-10,186.0,-0.42
122,123,Juan Manuel Cerundolo,24.0,1669.1,151,1578.0,87,1673.2,253,1451.9,1774.8,2021-10,83.0,0.39
123,124,Sebastian Ofner,29.6,1668.5,152,1576.8,88,1672.7,84,1612.9,1812.7,2024-01,131.0,-0.05
124,125,Alexander Shevchenko,25.1,1666.0,131,1610.5,108,1637.4,218,1475.8,1792.0,2024-02,104.0,0.18
125,126,Arthur Fery,23.3,1665.4,114,1625.4,267,1442.7,198,1491.1,1715.7,2025-10,185.0,-0.38
126,127,Bu Yunchaokete,23.9,1659.7,123,1618.3,140,1596.6,224,1472.1,1834.9,2024-09,120.0,0.06
127,128,Giulio Zeppieri,23.9,1659.5,111,1629.8,147,1589.1,99,1597.7,1691.2,2022-07,156.0,-0.2
128,129,Richard Gasquet,38.9,1659.2,125,1617.4,119,1617.5,94,1600.5,2059.5,2016-05,319.0,-0.91
129,130,Guy Den Ouden,23.4,1657.4,353,1368.3,94,1659.8,200,1489.1,1722.8,2025-08,160.0,-0.21
130,131,Mattia Bellucci,24.5,1656.8,128,1615.0,175,1541.5,92,1602.6,1814.3,2024-10,76.0,0.54
131,132,Tomas Barrios Vera,28.0,1655.4,171,1550.8,106,1639.6,100,1595.8,1710.3,2023-07,107.0,0.21
132,133,Zsombor Piros,26.2,1654.9,148,1586.1,110,1637.0,139,1549.4,1731.0,2023-04,170.0,-0.25
133,134,Emilio Nava,24.0,1654.4,137,1596.4,133,1605.4,136,1550.9,1738.2,2025-09,88.0,0.42
134,135,James Duckworth,33.9,1654.3,122,1619.9,176,1539.9,119,1574.0,1785.9,2021-11,86.0,0.45
135,136,Nicolai Budkov Kjaer,19.3,1653.4,119,1623.2,139,1597.2,163,1526.5,1749.3,2025-10,135.0,0.01
136,137,Sho Shimabukuro,28.4,1652.4,126,1615.6,201,1518.1,106,1589.3,1692.5,2023-09,144.0,-0.05
137,138,Rinky Hijikata,24.8,1650.7,129,1613.3,228,1482.9,108,1585.7,1744.9,2025-01,115.0,0.18
138,139,Kyrian Jacquet,24.6,1649.7,116,1624.6,170,1548.6,140,1547.7,1735.1,2025-02,128.0,0.08
139,140,Alex Molcan,27.9,1649.7,130,1611.1,115,1620.4,123,1569.5,1872.5,2022-07,205.0,-0.38
140,141,Jason Kubler,32.5,1649.2,138,1596.2,143,1595.6,57,1661.7,1790.0,2022-07,192.0,-0.31
141,142,Gilles Arnaud Bailly,20.0,1648.5,133,1604.5,159,1567.2,118,1574.2,1656.4,2025-10,207.0,-0.38
142,143,Dusan Lajovic,35.5,1648.3,162,1567.4,103,1644.7,187,1501.7,1854.6,2018-10,125.0,0.13
143,144,Aleksandar Kovacevic,27.3,1646.1,120,1622.3,212,1504.2,191,1499.0,1758.8,2024-04,54.0,0.98
144,145,Andrea Vavassori,30.3,1644.8,132,1606.1,117,1619.1,175,1516.4,1734.8,2023-04,336.0,-0.84
145,146,Toby Samuel,23.3,1644.1,121,1622.3,276,1432.0,165,1526.0,1684.5,2026-01,248.0,-0.53
146,147,Nicolas Moreno De Alboran,28.4,1641.9,127,1615.4,153,1577.8,167,1524.3,1687.7,2024-11,633.0,-1.46
147,148,Luka Mikrut,21.5,1641.3,255,1466.1,96,1657.8,170,1520.6,1735.4,2025-10,163.0,-0.1
148,149,Jan Choinski,29.4,1641.1,205,1512.6,104,1643.9,282,1436.5,1669.3,2025-11,124.0,0.18
149,150,Mark Lajal,22.6,1639.6,135,1598.9,204,1515.1,88,1607.4,1685.3,2025-07,153.0,-0.02
150,151,Filip Misolic,24.4,1638.5,203,1514.5,80,1689.5,129,1556.9,1829.4,2025-07,82.0,0.61
151,152,Pedro Martinez,28.6,1636.4,139,1595.0,118,1617.9,212,1479.6,1844.3,2022-04,71.0,0.76
152,153,Aslan Karatsev,31.9,1633.5,141,1593.3,112,1631.9,193,1497.5,1964.6,2021-05,672.0,-1.48
153,154,Michael Mmoh,27.9,1631.4,134,1600.8,195,1525.6,155,1532.5,1762.3,2017-02,228.0,-0.39
154,155,Vilius Gaubas,20.8,1628.8,222,1498.1,131,1608.1,135,1553.1,1718.5,2025-05,129.0,0.18
155,156,Chris Rodesch,24.4,1628.2,161,1567.7,148,1586.2,109,1583.9,1650.4,2026-01,208.0,-0.29
156,157,Martin Landaluce,19.9,1627.8,140,1594.8,197,1522.2,85,1612.2,1741.8,2024-10,149.0,0.05
157,158,Luca Nardi,22.4,1627.7,143,1592.8,149,1586.0,256,1450.0,1724.6,2024-04,108.0,0.38
158,159,Yosuke Watanuki,27.5,1627.5,145,1590.9,145,1590.6,112,1580.7,1798.2,2023-05,162.0,-0.02
159,160,Harold Mayot,23.9,1627.3,144,1591.3,138,1597.7,161,1527.8,1701.9,2024-06,159.0,0.01
160,161,Carlos Taberner,28.2,1625.8,266,1458.4,127,1612.4,271,1441.1,1725.0,2021-10,98.0,0.5
161,162,Francesco Passaro,24.8,1623.1,156,1574.6,125,1613.0,234,1467.9,1779.0,2022-08,140.0,0.15
162,163,Fabio Fognini,38.1,1622.9,160,1568.7,116,1620.0,133,1554.3,2003.8,2014-04,,
163,164,Daniel Evans,35.2,1621.1,149,1584.6,183,1532.8,86,1608.4,1902.5,2021-04,187.0,-0.13
164,165,Marco Trungelliti,35.7,1621.1,214,1504.6,114,1627.6,215,1478.4,1693.1,2018-07,130.0,0.24
165,166,Adolfo Daniel Vallejo,21.5,1620.0,303,1415.2,122,1614.8,128,1560.0,1620.0,2025-11,146.0,0.13
166,167,Alex Bolt,32.8,1615.8,158,1569.6,345,1372.9,103,1593.3,1688.9,2019-03,171.0,-0.02
167,168,Titouan Droguet,24.5,1615.6,174,1545.2,99,1647.0,137,1550.9,1722.4,2025-07,155.0,0.08
168,169,Elmer Moller,22.4,1612.5,243,1475.6,135,1602.3,152,1535.3,1741.1,2025-04,119.0,0.35
169,170,Adam Walton,26.7,1608.7,155,1576.6,254,1456.5,220,1473.8,1747.1,2025-04,79.0,0.77
170,171,Alvaro Guillen Meza,22.8,1607.6,387,1344.3,142,1595.7,208,1483.8,1627.0,2025-11,193.0,-0.12
171,172,Borna Gojo,27.8,1607.3,150,1580.2,126,1612.6,287,1430.4,1800.2,2023-10,284.0,-0.5
172,173,Ugo Blanchet,27.0,1607.3,154,1576.7,188,1528.3,211,1481.2,1662.1,2025-08,142.0,0.2
