Unnamed: 0,Elo Rank,Player,Age,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Peak Elo,Peak Month,ATP Rank,Log diff
276,277,Lukas Neumayer,23.3,1491.5,378,1350.2,224,1491.3,339,1401.4,1600.2,2025-06,226.0,0.2
277,278,Calvin Hemery,30.7,1490.3,289,1436.9,226,1488.1,345,1397.3,1651.1,2015-06,259.0,0.07
278,279,Enzo Couacaud,30.5,1490.1,262,1460.9,236,1474.7,206,1484.1,1647.1,2020-02,680.0,-0.89
279,280,Nerman Fatic,31.0,1489.9,296,1424.8,235,1474.8,238,1463.2,1584.4,2023-07,223.0,0.23
280,281,Federico Cina,18.5,1489.0,263,1459.2,239,1471.8,266,1444.5,1644.2,2025-06,235.0,0.18
281,282,Yasutaka Uchiyama,33.2,1486.5,275,1454.4,359,1359.4,289,1429.2,1727.5,2019-10,307.0,-0.08
282,283,Jay Clarke,27.4,1486.4,269,1456.4,263,1447.2,414,1364.9,1617.4,2018-07,178.0,0.46
283,284,Abedallah Shelbayh,21.9,1484.6,245,1475.0,337,1377.8,243,1460.0,1648.2,2024-02,291.0,-0.02
284,285,Javier Barranco Cosano,27.0,1482.5,294,1425.1,258,1453.8,264,1445.2,1581.0,2024-07,349.0,-0.2
285,286,Murphy Cassone,23.3,1482.3,268,1456.5,374,1345.2,293,1425.2,1684.9,2025-02,224.0,0.24
286,287,Radu Albot,36.0,1481.3,272,1454.9,245,1465.7,181,1509.5,1823.4,2019-05,429.0,-0.4
287,288,Frederico Ferreira Silva,30.6,1481.0,279,1450.5,271,1436.9,239,1462.8,1642.4,2021-05,262.0,0.09
288,289,Andrea Collarini,33.7,1480.6,379,1349.3,247,1464.9,423,1360.7,1572.5,2019-09,240.0,0.19
289,290,Ryan Peniston,30.1,1478.2,282,1446.5,341,1375.1,246,1458.5,1723.2,2022-06,219.0,0.28
290,291,Genaro Alberto Olivieri,27.2,1478.0,372,1352.1,248,1460.7,416,1363.9,1585.6,2023-07,231.0,0.23
291,292,Dennis Novak,32.1,1477.4,260,1461.8,250,1458.7,154,1534.8,1758.9,2019-11,585.0,-0.69
292,293,Inaki Montes De La Torre,23.0,1477.2,271,1455.5,332,1381.0,274,1438.6,1529.0,2025-02,408.0,-0.33
293,294,Maks Kasnikowski,22.3,1477.2,292,1430.1,220,1494.9,202,1488.6,1652.1,2024-06,419.0,-0.35
294,295,Tom Paris,23.1,1476.7,284,1442.2,318,1391.6,276,1438.3,1497.2,2025-11,269.0,0.09
295,296,Gianluca Cadenasso,21.1,1476.5,381,1348.3,256,1454.2,277,1438.3,1551.1,2025-11,,
296,297,Max Hans Rehberg,21.6,1476.0,267,1457.7,315,1393.7,405,1370.9,1575.0,2025-02,618.0,-0.73
297,298,Kenta Miyoshi,21.6,1475.6,281,1446.7,373,1347.8,278,1437.8,1512.8,2025-11,634.0,-0.75
298,299,Sandro Kopp,25.6,1475.4,326,1392.4,251,1458.3,279,1437.7,1547.1,2025-11,302.0,-0.01
299,300,Remy Bertola,27.1,1473.9,277,1451.7,348,1367.7,280,1437.0,1498.9,2025-10,255.0,0.16
300,301,Andrej Martin,36.1,1473.0,347,1374.3,264,1446.8,443,1348.8,1674.7,2014-08,334.0,-0.1
301,302,Edas Butvilas,21.3,1472.9,246,1472.9,354,1364.1,302,1420.4,1672.0,2024-09,273.0,0.1
302,303,Jozef Kovalik,32.8,1472.8,299,1421.1,246,1465.6,400,1374.3,1721.8,2018-07,590.0,-0.67
303,304,Franco Agamenone,32.6,1472.7,366,1356.0,257,1454.2,412,1365.3,1707.6,2021-10,335.0,-0.1
304,305,Michael Geerts,30.9,1470.2,264,1459.1,329,1383.0,388,1378.7,1540.6,2023-03,287.0,0.06
305,306,Marat Sharipov,23.2,1469.1,274,1454.4,296,1410.8,283,1434.5,1613.9,2025-02,303.0,0.01
306,307,Hynek Barton,21.5,1467.1,297,1423.6,261,1448.7,284,1433.6,1544.9,2025-07,300.0,0.02
307,308,Juan Pablo Ficovich,28.8,1466.4,290,1435.6,266,1443.6,267,1444.4,1597.4,2020-10,161.0,0.65
308,309,Eliakim Coulibaly,23.5,1465.5,286,1440.6,331,1381.6,286,1432.8,1537.1,2025-05,313.0,-0.01
309,310,Hamish Stewart,26.3,1465.1,317,1403.2,377,1342.5,196,1493.8,1602.2,2025-08,338.0,-0.09
310,311,Gastao Elias,35.0,1462.9,288,1437.0,272,1435.5,387,1379.8,1737.5,2016-08,364.0,-0.16
311,312,Kaichi Uchida,31.3,1462.6,287,1437.8,352,1364.7,268,1444.0,1571.8,2023-02,249.0,0.23
312,313,Lorenzo Giustino,34.3,1460.4,276,1452.8,316,1393.3,461,1336.0,1643.8,2019-06,210.0,0.4
313,314,Mats Rosenkranz,27.2,1458.6,285,1442.2,397,1322.8,341,1401.0,1503.3,2025-10,321.0,-0.02
314,315,Oriol Roca Batalla,32.1,1456.9,336,1383.4,275,1433.1,357,1389.6,1554.6,2024-06,410.0,-0.26
315,316,Gauthier Onclin,24.8,1456.7,319,1402.1,244,1467.7,288,1430.0,1591.3,2023-07,266.0,0.17
316,317,Oliver Crawford,26.5,1456.1,312,1406.2,322,1386.4,236,1466.2,1580.7,2023-10,203.0,0.45
317,318,Joao Lucas Reis Da Silva,25.6,1454.1,367,1355.6,262,1448.5,291,1427.1,1531.3,2025-11,206.0,0.43
318,319,Antoine Ghibaudo,20.8,1453.0,304,1413.8,390,1330.4,201,1488.8,1518.9,2025-09,348.0,-0.09
319,320,Dimitar Kuzmanov,32.4,1452.6,280,1447.7,293,1413.5,301,1421.2,1640.1,2021-05,263.0,0.2
320,321,Kilian Feldbausch,20.2,1452.5,415,1310.8,270,1437.2,292,1426.2,1499.1,2024-01,374.0,-0.15
321,322,Henry Bernet,18.9,1446.6,335,1383.5,283,1425.5,296,1423.3,1537.6,2025-11,509.0,-0.46
322,323,Karue Sell,31.7,1446.2,305,1413.5,294,1411.8,297,1423.1,1529.3,2024-10,575.0,-0.58
323,324,Geoffrey Blancaneaux,27.2,1446.2,311,1406.4,269,1438.4,436,1351.1,1591.5,2023-05,256.0,0.24
324,325,Lautaro Midon,21.6,1446.1,310,1411.4,312,1394.9,298,1423.0,1498.4,2025-06,234.0,0.33
325,326,Ioannis Xilas,24.5,1445.6,293,1428.2,237,1472.8,221,1472.8,1652.3,2025-08,391.0,-0.18
326,327,Tom Gentzsch,22.3,1445.2,323,1396.2,309,1400.1,299,1422.6,1502.7,2025-10,283.0,0.14
327,328,Maxim Mrva,18.2,1444.4,283,1446.4,328,1384.2,223,1472.2,1619.4,2025-03,342.0,-0.04
328,329,Matteo Martineau,26.9,1443.7,291,1432.6,355,1362.7,332,1404.1,1624.5,2024-02,277.0,0.17
329,330,Hady Habib,27.2,1442.2,318,1402.2,260,1450.7,262,1446.3,1624.9,2025-05,245.0,0.3
330,331,Sascha Gueymard Wayenburg,22.2,1442.1,316,1404.1,281,1426.7,369,1385.5,1563.9,2025-01,198.0,0.51
331,332,Facundo Mena,33.1,1441.6,369,1354.2,284,1424.2,370,1385.5,1616.9,2019-09,322.0,0.03
332,333,Benjamin Hassan,30.9,1440.6,332,1387.1,255,1456.2,308,1417.0,1680.2,2023-10,258.0,0.26
333,334,Aziz Dougaz,28.3,1438.8,307,1412.7,282,1425.7,354,1390.3,1555.3,2020-02,309.0,0.08
334,335,Darwin Blanch,18.1,1437.9,302,1415.3,406,1316.5,303,1418.9,1466.0,2025-11,295.0,0.13
335,336,Murkel Alejandro Dellien Velasco,28.1,1436.7,339,1381.5,286,1422.0,346,1397.2,1602.5,2022-01,251.0,0.29
336,337,Antoine Escoffier,33.6,1435.7,306,1413.4,455,1258.4,422,1360.8,1628.4,2023-03,434.0,-0.25
337,338,Nicolas Kicker,33.2,1435.1,351,1370.4,273,1435.1,411,1367.1,1706.2,2018-05,257.0,0.27
338,339,David Jorda Sanchis,31.4,1435.1,376,1350.5,295,1411.8,389,1378.7,1531.3,2023-07,385.0,-0.13
339,340,Stuart Parker,28.2,1434.0,309,1412.2,394,1327.0,473,1324.7,1524.1,2025-03,415.0,-0.2
340,341,Arthur Bouquier,24.8,1433.5,295,1425.0,424,1296.7,331,1404.2,1732.0,2025-03,229.0,0.4
341,342,Mili Poljicak,21.1,1433.0,436,1277.6,288,1418.7,386,1380.6,1508.5,2025-05,383.0,-0.11
342,343,Blake Ellis,26.9,1431.6,315,1404.5,396,1325.8,311,1415.8,1490.7,2018-02,441.0,-0.25
343,344,Jakub Paul,26.5,1430.8,346,1374.8,339,1377.3,312,1415.4,1506.3,2025-08,368.0,-0.07
344,345,Paul Jubb,26.1,1429.9,313,1405.6,381,1340.1,261,1447.3,1632.1,2022-03,360.0,-0.04
345,346,Daniel Masur,31.1,1426.5,321,1399.1,313,1393.8,320,1408.8,1621.9,2021-03,510.0,-0.39
346,347,Ivan Gakhov,29.0,1425.1,404,1320.9,304,1404.9,375,1384.1,1659.6,2023-05,261.0,0.28
347,348,Bernabe Zapata Miralles,28.8,1421.5,348,1374.0,291,1414.0,290,1427.7,1779.9,2023-05,462.0,-0.28
348,349,Christoph Negritu,31.7,1420.9,343,1375.7,303,1408.5,315,1410.5,1540.2,2024-11,359.0,-0.03
349,350,Enrico Dalla Valle,27.6,1416.9,390,1335.3,301,1408.6,322,1408.4,1543.6,2024-07,524.0,-0.4
350,351,Milos Karol,22.9,1416.4,363,1359.5,349,1367.7,323,1408.2,1457.6,2025-10,447.0,-0.24
351,352,Yuta Shimizu,26.5,1416.3,334,1384.0,425,1294.2,313,1414.8,1590.8,2024-05,340.0,0.03
352,353,Filip Cristian Jianu,24.1,1416.1,406,1319.9,307,1401.4,342,1399.3,1578.5,2019-09,278.0,0.24
353,354,Denis Yevseyev,32.5,1415.2,328,1391.1,323,1385.8,307,1417.5,1565.7,2024-01,379.0,-0.07
354,355,Andre Ilagan,25.1,1415.2,331,1389.5,403,1317.6,324,1407.6,1524.7,2025-10,352.0,0.01
355,356,Alexey Vatutin,33.0,1415.2,338,1382.0,342,1373.8,403,1371.6,1637.3,2018-04,371.0,-0.04
356,357,Fajing Sun,29.2,1415.0,327,1391.2,470,1239.1,365,1386.4,1487.1,2025-07,268.0,0.29
357,358,Charles Broom,27.7,1414.9,333,1385.0,404,1317.5,318,1409.9,1536.4,2024-06,304.0,0.16
358,359,Mathys Erhard,24.1,1413.5,342,1375.8,325,1384.7,326,1406.7,1455.1,2025-11,329.0,0.09
359,360,Hayato Matsuoka,20.9,1413.2,324,1392.9,405,1316.6,327,1406.6,1532.2,2025-11,405.0,-0.12
360,361,Juan Bautista Torres,23.6,1412.9,416,1308.5,308,1400.6,328,1406.4,1586.6,2022-07,358.0,0.01
361,362,Oleg Prihodko,28.1,1411.9,384,1345.3,327,1384.3,329,1406.0,1514.0,2021-12,437.0,-0.19
362,363,Dmitry Popko,29.0,1409.5,298,1423.5,364,1356.0,462,1335.0,1631.7,2020-01,222.0,0.49
363,364,Jacopo Vasami,17.6,1406.3,413,1313.2,319,1390.9,335,1403.2,1452.9,2025-06,662.0,-0.6
364,365,Viktor Durasovic,28.6,1405.9,325,1392.8,380,1340.4,450,1346.6,1494.2,2025-02,323.0,0.12
365,366,Andres Andrade,26.9,1404.1,388,1342.4,292,1413.9,338,1402.0,1584.8,2024-08,271.0,0.3
366,367,Hernan Casanova,31.7,1403.6,442,1268.1,324,1385.5,404,1371.0,1474.0,2022-09,365.0,0.01
367,368,Mika Brunold,21.2,1402.2,365,1358.0,335,1378.0,340,1401.1,1510.9,2025-07,388.0,-0.05
368,369,Philip Henning,25.0,1400.7,341,1377.6,361,1357.9,255,1450.3,1559.8,2021-09,326.0,0.12
369,370,Federico Arnaboldi,25.4,1399.4,357,1364.0,370,1349.6,408,1369.2,1623.0,2024-08,376.0,-0.02
370,371,Harry Wendelken,24.0,1397.5,337,1382.5,410,1308.7,434,1351.4,1526.6,2025-10,316.0,0.16
371,372,Alex Rybakov,28.7,1395.4,355,1364.5,360,1358.6,304,1418.8,1516.5,2022-07,281.0,0.28
372,373,Pedro Boscardin Dias,22.8,1395.4,474,1230.0,314,1393.8,344,1397.7,1444.6,2025-10,275.0,0.3
373,374,Giles Hussey,28.6,1392.6,349,1372.7,413,1306.3,426,1358.4,1487.3,2025-08,350.0,0.07
374,375,Matheus Pucinelli De Almeida,24.6,1390.3,447,1261.8,326,1384.4,347,1396.0,1650.0,2022-03,297.0,0.23
375,376,Adria Soriano Barrera,26.5,1389.6,345,1375.1,398,1322.6,348,1394.8,1429.0,2025-07,355.0,0.06
376,377,Philip Sekulic,22.3,1388.4,358,1361.4,443,1273.0,430,1356.1,1533.1,2024-07,519.0,-0.32
377,378,Andres Martin,24.4,1385.0,364,1359.0,300,1408.8,269,1442.5,1603.6,2022-07,270.0,0.34
378,379,Samir Banerjee,22.1,1383.9,360,1361.0,417,1302.0,351,1392.0,1472.4,2025-09,403.0,-0.06
379,380,Santiago Fa Rodriguez Taverna,26.3,1383.8,414,1312.6,333,1380.3,391,1378.6,1672.6,2022-01,227.0,0.52
380,381,Tung Lin Wu,27.6,1382.6,371,1352.7,298,1409.4,437,1350.7,1605.0,2023-04,361.0,0.05
381,382,Mae Malige,19.7,1382.2,361,1360.5,462,1251.7,353,1391.1,1435.8,2025-10,438.0,-0.14
382,383,Gabi Adrian Boitan,26.3,1381.9,374,1351.3,358,1359.9,272,1441.0,1488.6,2022-03,325.0,0.16
383,384,Jacopo Berrettini,26.8,1380.0,412,1314.2,346,1372.3,355,1390.0,1592.3,2024-05,299.0,0.25
384,385,Tibo Colson,25.4,1377.3,362,1359.9,454,1258.9,359,1388.7,1397.3,2026-01,465.0,-0.19
385,386,Marek Gengel,30.3,1377.0,375,1351.3,468,1243.2,445,1348.1,1505.8,2023-01,351.0,0.1
386,387,Jie Cui,27.7,1377.0,377,1350.3,465,1246.4,360,1388.5,1491.5,2025-05,417.0,-0.07
387,388,Mees Rottgering,18.3,1375.8,382,1346.0,317,1392.7,300,1421.3,1486.4,2025-02,624.0,-0.48
388,389,Nikolas Sanchez Izquierdo,26.6,1375.7,469,1238.7,356,1361.7,361,1387.8,1517.8,2022-06,305.0,0.24
389,390,Robin Bertrand,22.8,1375.0,380,1348.7,431,1290.3,362,1387.5,1540.9,2024-07,298.0,0.27
390,391,Govind Nanda,24.4,1374.0,373,1351.5,418,1301.6,364,1387.0,1501.0,2022-09,549.0,-0.34
391,392,Alfredo Perez,28.4,1371.6,393,1333.4,334,1379.7,367,1385.8,1451.2,2025-10,337.0,0.15
392,393,Garrett Johns,24.9,1371.3,359,1361.3,438,1283.2,368,1385.6,1534.5,2025-08,292.0,0.3
393,394,Benoit Paire,36.3,1370.9,383,1345.8,320,1389.9,309,1416.5,1909.0,2013-05,907.0,-0.83
394,395,Cezar Cretu,24.5,1370.7,350,1370.8,383,1338.2,372,1385.3,1526.0,2024-09,377.0,0.05
395,396,Nicolas Alvarez Varona,24.3,1370.4,329,1390.5,409,1314.4,373,1385.2,1526.2,2022-11,356.0,0.11
396,397,Giovanni Fonio,27.3,1369.2,340,1380.3,391,1329.5,374,1384.6,1566.9,2023-02,456.0,-0.14
397,398,Max Houkes,25.5,1368.1,450,1258.7,351,1365.2,441,1350.1,1481.3,2025-03,247.0,0.48
398,399,Patrick Zahraj,26.3,1367.5,330,1389.6,453,1259.1,349,1394.2,1596.7,2025-03,274.0,0.38
399,400,Daniel Michalski,25.8,1366.0,344,1375.3,378,1341.2,285,1433.0,1590.8,2020-02,260.0,0.43
400,401,Edward Winter,21.3,1365.1,407,1319.4,429,1292.6,316,1410.1,1440.2,2025-10,493.0,-0.21
401,402,Cannon Kingsley,24.6,1363.6,385,1344.5,448,1266.7,378,1381.8,1468.0,2023-09,498.0,-0.21
402,403,Eduardo Ribeiro,27.6,1363.4,448,1260.2,363,1356.2,379,1381.7,1446.1,2023-06,461.0,-0.13
403,404,Stefan Dostanic,23.8,1363.3,391,1335.0,430,1291.6,380,1381.6,1383.6,2025-08,587.0,-0.37
404,405,Adrian Andreev,24.5,1363.0,395,1330.3,347,1370.4,475,1321.5,1642.9,2023-01,965.0,-0.87
405,406,Luca Potenza,25.3,1362.9,397,1327.7,386,1335.8,382,1381.4,1470.3,2022-06,366.0,0.1
406,407,Rodrigo Pacheco Mendez,20.6,1362.7,368,1355.5,387,1334.1,383,1381.4,1511.2,2025-06,232.0,0.56
407,408,Rudolf Molleker,25.0,1362.7,405,1320.1,357,1361.0,438,1350.7,1712.9,2019-06,450.0,-0.1
408,409,Aidan Mayo,22.2,1361.9,370,1353.1,445,1270.6,363,1387.1,1541.1,2024-11,614.0,-0.41
409,410,Raul Brancaccio,28.4,1361.8,392,1333.6,365,1355.0,440,1350.4,1644.9,2023-01,411.0,0.0
410,411,Pedro Sakamoto,32.3,1361.7,428,1297.9,369,1351.2,385,1380.9,1495.6,2019-05,375.0,0.09
411,412,Maximilian Neuchrist,34.1,1360.8,401,1323.5,388,1334.1,442,1349.9,1549.9,2023-04,540.0,-0.27
412,413,Petr Bar Biryukov,23.8,1357.4,389,1335.9,433,1288.7,390,1378.7,1488.1,2025-10,328.0,0.23
413,414,Khumoun Sultanov,26.9,1356.8,386,1344.5,449,1266.5,358,1389.1,1553.9,2025-02,,
414,415,Tsung Hao Huang,25.9,1356.1,394,1330.4,434,1288.1,393,1378.1,1406.7,2023-10,495.0,-0.18
415,416,Gabriele Piraino,22.0,1354.0,449,1258.8,389,1333.0,394,1377.0,1381.9,2024-07,341.0,0.2
416,417,Pol Martin Tiffon,26.3,1353.9,422,1304.5,372,1348.8,452,1344.2,1512.6,2025-03,373.0,0.11
417,418,Florent Bax,26.5,1353.7,409,1317.9,400,1318.3,395,1376.9,1449.1,2025-04,288.0,0.37
418,419,Michael Vrbensky,25.8,1352.5,403,1321.4,395,1326.8,396,1376.2,1576.5,2021-07,584.0,-0.33
419,420,Diego Dedura Palomero,17.7,1352.0,473,1234.4,362,1356.3,397,1376.0,1419.0,2025-09,327.0,0.25
420,421,Kaylan Bigun,19.4,1350.8,408,1319.1,440,1275.3,398,1375.4,1423.0,2025-08,717.0,-0.53
421,422,Henry Searle,19.7,1349.9,411,1314.7,426,1293.0,435,1351.3,1474.6,2025-06,469.0,-0.11
422,423,Daniel Dutra Da Silva,37.3,1349.8,453,1257.4,384,1337.2,421,1361.0,1519.5,2009-02,339.0,0.22
423,424,Buvaysar Gadamauri,25.3,1349.2,398,1327.1,428,1292.7,399,1374.6,1367.7,2025-11,439.0,-0.03
424,425,Sergey Fomin,24.9,1347.7,421,1305.1,344,1373.2,401,1373.8,1386.4,2024-07,332.0,0.25
425,426,Carlo Alberto Caniato,20.0,1345.7,437,1277.6,371,1349.5,402,1372.9,1451.2,2025-09,,
426,427,Ergi Kirkin,26.6,1343.6,400,1323.7,392,1328.9,425,1358.8,1516.7,2022-05,564.0,-0.28
427,428,Hiroki Moriya,35.2,1340.4,420,1305.3,464,1248.6,448,1347.4,1584.0,2012-12,515.0,-0.19
428,429,James Watt,25.5,1339.7,410,1317.8,466,1244.6,337,1402.4,1360.2,2026-01,643.0,-0.4
429,430,Matias Soto,26.5,1338.0,434,1280.9,382,1338.5,410,1369.0,1461.2,2025-03,386.0,0.11
430,431,Jelle Sels,30.2,1336.6,356,1364.4,421,1299.6,495,1264.6,1640.8,2022-11,345.0,0.22
431,432,Miguel Tobon,19.4,1335.3,399,1324.4,401,1318.0,392,1378.6,1600.3,1995-09,593.0,-0.32
432,433,Maxime Janvier,29.0,1333.7,426,1302.3,422,1299.0,413,1365.1,1601.5,2019-09,529.0,-0.2
433,434,Tyler Zink,24.9,1333.5,418,1307.6,460,1255.1,381,1381.6,1473.9,2025-10,294.0,0.39
434,435,Neil Oberleitner,26.4,1329.0,429,1297.3,439,1276.5,415,1364.5,1378.0,2024-07,425.0,0.02
435,436,Omar Jasika,28.6,1326.4,419,1306.2,452,1260.1,496,1257.7,1669.1,2017-02,330.0,0.28
436,437,Maximus Jones,21.3,1325.8,425,1302.4,414,1305.4,418,1362.9,1524.4,2025-04,378.0,0.15
437,438,Dan Martin,26.6,1325.4,433,1286.3,420,1300.9,463,1334.8,1374.1,2025-11,400.0,0.09
438,439,Andrea Picchione,27.2,1324.4,443,1266.5,415,1305.2,419,1362.2,1366.1,2024-04,393.0,0.11
439,440,Franco Roncadelli,25.7,1323.8,478,1226.5,402,1317.7,420,1361.9,1399.7,2025-06,346.0,0.24
440,441,Patrick Maloney,25.6,1320.7,439,1273.3,399,1322.0,406,1370.7,1467.5,2025-07,353.0,0.22
441,442,Aleksandre Bakshi,28.3,1320.0,431,1295.3,297,1410.0,317,1410.0,1613.0,2024-07,545.0,-0.21
442,443,Guido Ivan Justo,27.9,1317.8,463,1244.5,411,1307.6,424,1358.9,1342.6,2025-11,372.0,0.17
443,444,Renzo Olivo,33.2,1317.5,430,1296.5,427,1292.8,467,1330.5,1643.4,2015-02,511.0,-0.14
444,445,Robert Strombachs,26.3,1316.6,396,1328.4,447,1266.9,427,1358.3,1479.9,2025-05,398.0,0.11
445,446,Gonzalo Villanueva,30.8,1315.2,480,1220.9,423,1297.8,429,1357.6,1454.7,2022-05,344.0,0.26
446,447,Luciano Emanuel Ambrogi,21.9,1310.6,484,1206.4,412,1306.8,431,1355.3,1410.3,2024-09,435.0,0.03
447,448,Lukas Pokorny,23.2,1310.5,427,1300.8,450,1262.6,432,1355.3,1435.5,2025-05,532.0,-0.17
448,449,Juan Manuel La Serna,21.8,1309.5,432,1295.2,435,1286.6,433,1354.7,1340.2,2025-11,433.0,0.04
449,450,Olaf Pieczkowski,21.6,1309.2,423,1304.3,407,1314.8,330,1404.6,1621.0,2023-11,457.0,-0.02
450,451,Eero Vasa,28.9,1308.0,424,1304.2,446,1270.5,333,1404.0,1415.6,2016-03,473.0,-0.05
451,452,Corentin Denolly,28.5,1305.8,455,1254.6,444,1271.8,456,1339.6,1455.6,2025-03,399.0,0.12
452,453,Mateus Alves,24.8,1301.4,491,1180.4,416,1302.9,439,1350.7,1422.1,2024-11,460.0,-0.02
453,454,Miguel Damas,25.9,1296.8,456,1254.5,442,1274.9,444,1348.4,1321.7,2025-11,318.0,0.36
454,455,Max Alcala Gurri,23.1,1295.7,462,1245.1,441,1275.3,446,1347.9,1332.3,2022-04,381.0,0.18
455,456,Renta Tokuda,27.7,1295.4,440,1270.5,482,1208.9,447,1347.7,1380.8,2018-05,324.0,0.34
456,457,Daniel Milavsky,24.1,1295.2,438,1275.4,456,1257.6,471,1328.4,1383.0,2025-11,397.0,0.14
457,458,Masamichi Imamura,27.0,1293.3,445,1263.0,458,1256.7,449,1346.7,1394.5,2024-11,534.0,-0.15
458,459,Christian Langmo,29.5,1292.0,446,1262.3,492,1164.6,451,1346.0,1411.8,2023-04,347.0,0.28
459,460,Dali Blanch,22.7,1285.4,492,1172.1,385,1336.3,453,1342.7,1464.6,2025-08,452.0,0.02
460,461,Naoki Nakagawa,28.7,1284.8,441,1268.7,494,1146.6,454,1342.4,1327.7,2024-09,724.0,-0.45
461,462,Carlos Sanchez Jover,25.3,1280.9,479,1224.4,451,1261.0,455,1340.5,1440.5,2023-09,317.0,0.38
462,463,Max Wiskandt,23.7,1278.4,470,1238.5,437,1284.8,483,1312.0,1454.0,2025-04,442.0,0.05
463,464,Alexandr Binda,24.1,1277.6,452,1258.1,463,1248.8,457,1338.8,1450.9,2025-07,445.0,0.04
464,465,Karan Singh,22.5,1277.3,466,1240.6,436,1285.5,458,1338.6,1339.8,2025-02,470.0,-0.01
465,466,Conner Huertas Del Pino,29.5,1275.6,435,1280.3,467,1244.5,459,1337.8,1354.2,2025-04,729.0,-0.45
466,467,Olle Wallin,24.0,1275.2,471,1237.1,432,1289.8,460,1337.6,1488.2,2025-07,443.0,0.05
467,468,Blaise Bicknell,23.9,1272.5,451,1258.2,461,1252.9,366,1386.2,1587.2,2024-02,487.0,-0.04
468,469,Vadym Ursu,28.8,1268.0,457,1249.9,486,1190.2,482,1312.9,1281.3,2025-11,427.0,0.09
469,470,Aristotelis Thanos,24.6,1267.4,454,1254.6,393,1328.2,377,1383.7,1576.3,2025-02,492.0,-0.05
470,471,Lucas Poullain,29.8,1265.4,461,1246.4,475,1229.9,464,1332.7,1590.8,2023-10,402.0,0.16
471,472,Tiago Pereira,21.5,1263.6,464,1242.9,457,1257.2,465,1331.8,1406.9,2025-08,264.0,0.58
472,473,Kasidit Samrej,24.9,1261.9,472,1236.5,375,1345.1,384,1381.0,1424.3,2019-04,413.0,0.14
473,474,Juan Alejandro Hernandez Serrano,26.4,1259.6,459,1249.3,481,1215.0,468,1329.8,1300.9,2025-06,409.0,0.15
474,475,Taha Baadi,24.3,1259.1,458,1249.7,473,1235.9,491,1293.8,1300.1,2025-09,570.0,-0.18
475,476,Pedro Araujo,23.6,1257.4,468,1240.1,483,1206.6,469,1328.7,1307.5,2025-01,694.0,-0.38
476,477,Aryan Shah,20.1,1257.1,460,1247.3,471,1237.1,470,1328.6,1524.6,2025-07,394.0,0.19
477,478,Roberto Cid,32.0,1254.2,444,1263.4,480,1221.8,466,1331.5,1621.4,2018-06,431.0,0.1
478,479,Andrew Fenty,25.6,1252.5,475,1229.6,472,1236.2,472,1326.2,1296.1,2025-10,458.0,0.04
479,480,Maxime Chazal,32.7,1248.6,493,1168.2,469,1239.4,474,1324.3,1382.8,2015-09,577.0,-0.18
480,481,Saba Purtseladze,24.2,1242.3,476,1229.5,488,1177.0,486,1299.2,1466.8,2025-05,286.0,0.52
481,482,Moerani Bouzige,26.4,1238.8,482,1210.8,476,1229.4,476,1319.4,1416.7,2024-12,467.0,0.03
482,483,Kokoro Isomura,22.8,1238.0,483,1210.4,477,1229.0,477,1319.0,1428.8,2024-11,557.0,-0.14
483,484,Pierluigi Basile,18.8,1237.0,488,1188.6,459,1256.2,478,1318.5,1426.9,2025-06,702.0,-0.37
484,485,Mariano Kestelboim,29.7,1234.5,487,1188.7,479,1225.3,479,1317.2,1312.1,2025-06,406.0,0.18
485,486,Karl Poling,26.3,1232.7,465,1242.0,484,1201.2,492,1274.7,1280.8,2025-11,600.0,-0.21
486,487,San Hui Sin,28.8,1231.9,481,1217.6,478,1226.0,480,1316.0,1314.1,2025-08,354.0,0.32
487,488,Federico Bondioli,20.5,1227.7,490,1182.9,474,1231.6,481,1313.9,1422.6,2025-06,440.0,0.1
488,489,Dominik Kellovsky,29.3,1218.7,477,1229.5,493,1162.8,484,1309.4,1297.2,2017-07,561.0,-0.14
489,490,Bruno Kuzuhara,21.6,1215.5,486,1195.0,487,1184.9,485,1307.7,1335.1,2024-07,531.0,-0.08
490,491,Alex Marti Pujolras,26.5,1197.4,467,1240.2,489,1172.4,487,1298.7,1359.7,2023-04,505.0,-0.03
491,492,Lorenzo Carboni,19.6,1195.3,494,1155.0,485,1198.6,488,1297.7,1325.2,2023-08,422.0,0.15
492,493,Leo Borg,22.5,1189.8,489,1183.9,496,1137.6,489,1294.9,1211.0,2025-10,533.0,-0.08
493,494,Sebastian Gima,23.5,1188.7,485,1204.4,490,1167.1,490,1294.4,1251.0,2025-08,535.0,-0.08
494,495,Lorenzo Joaquin Rodriguez,26.1,1148.6,495,1150.5,495,1142.0,493,1274.3,1362.4,2024-04,446.0,0.1
495,496,Matthew Dellavedova,25.6,1139.7,497,1128.1,497,1133.1,494,1269.9,1201.5,2024-01,518.0,-0.04
496,497,Juan Carlos Aguilar,27.0,1112.1,498,1068.9,491,1165.7,497,1256.0,1243.9,2025-01,606.0,-0.2
497,498,Tristan Mccormick,26.6,1109.8,496,1131.3,498,1096.3,498,1224.4,1286.0,2023-06,502.0,-0.01
